perf,rt,cond,block,sbj
1,519.9848,1,5,2
1,619.978,1,5,2
1,519.9817,1,5,2
1,589.9795,3,5,2
1,509.9835,1,5,2
1,609.9798,2,5,2
1,749.9744,3,5,2
1,569.9786,3,5,2
1,529.983,1,5,2
1,519.9803,1,5,2
1,609.9781,1,5,2
1,469.9832,1,5,2
0,489.981,3,5,2
1,549.9808,1,5,2
1,759.9717,1,5,2
1,579.9793,3,5,2
1,599.9804,1,5,2
1,499.9817,3,5,2
1,559.9796,1,5,2
1,809.9705,1,5,2
1,499.9834,2,5,2
0,579.981,3,5,2
1,559.9821,1,5,2
1,589.9767,3,5,2
1,599.9785,1,5,2
1,539.9804,3,5,2
0,639.978,1,5,2
1,499.9817,1,5,2
1,469.9829,3,5,2
0,789.9722,1,5,2
0,709.9743,1,5,2
1,619.9766,1,5,2
0,699.9764,3,5,2
1,649.9767,2,5,2
0,780.023,2,6,2
0,789.9727,2,6,2
0,NaN,3,6,2
1,569.9794,3,6,2
1,609.9795,2,6,2
1,459.9842,1,6,2
1,500.0075,3,6,2
0,449.9599,2,6,2
1,579.9799,1,6,2
1,529.981,3,6,2
1,619.9782,1,6,2
1,509.9564,1,6,2
1,509.9835,1,6,2
1,669.9759,3,6,2
1,519.9828,1,6,2
1,499.9831,1,6,2
0,519.9806,3,6,2
1,529.9816,1,6,2
1,479.9817,1,6,2
1,509.9827,1,6,2
1,399.9877,3,6,2
1,519.9831,1,6,2
1,619.9766,2,6,2
1,609.9781,3,6,2
1,699.9736,1,6,2
1,459.9842,3,6,2
1,589.9781,1,6,2
1,659.9783,1,6,2
1,639.9766,3,6,2
1,459.983,1,6,2
1,559.9798,2,6,2
1,509.983,3,6,2
1,399.9841,1,6,2
1,559.9793,3,6,2
1,459.9858,1,6,2
1,509.9844,1,6,2
1,399.9835,3,6,2
0,469.9863,1,6,2
1,619.9802,1,6,2
1,419.9849,1,6,2
1,489.9815,1,6,2
0,499.9814,3,6,2
1,439.9827,1,6,2
1,469.9832,1,6,2
1,739.9734,3,6,2
1,409.9862,1,6,2
1,469.9812,1,6,2
0,419.9861,3,6,2
0,429.9831,2,6,2
1,439.9822,3,6,2
1,499.9831,1,6,2
1,539.9823,3,6,2
1,499.9834,1,6,2
1,499.9831,2,6,2
1,589.9792,1,6,2
1,589.9795,1,6,2
1,509.981,3,6,2
1,629.977,3,6,2
1,479.9831,1,6,2
1,479.9831,1,6,2
1,889.9693,1,7,2
1,459.9836,1,7,2
1,470.009,3,7,2
1,549.9811,1,7,2
1,509.9819,3,7,2
1,489.9832,1,7,2
1,439.9836,2,7,2
1,499.9828,3,7,2
1,469.9588,1,7,2
1,479.982,3,7,2
1,569.9791,1,7,2
1,470.0078,1,7,2
1,429.9837,3,7,2
1,549.9786,2,7,2
1,529.9822,1,7,2
0,639.9788,3,7,2
1,549.9825,1,7,2
1,479.9811,2,7,2
1,509.9824,1,7,2
1,569.9811,3,7,2
1,449.9826,1,7,2
1,469.981,1,7,2
1,539.9812,1,7,2
1,599.9785,3,7,2
1,479.9839,1,7,2
1,469.984,1,7,2
1,469.984,3,7,2
1,499.982,1,7,2
1,459.9825,1,7,2
1,459.9833,3,7,2
1,509.9821,1,7,2
0,509.9819,3,7,2
0,419.9844,1,7,2
1,559.9804,3,7,2
1,569.9819,1,7,2
0,579.9796,1,7,2
1,749.9733,2,7,2
1,439.9839,1,7,2
1,519.9826,3,7,2
1,719.9759,2,7,2
1,579.9824,1,7,2
1,459.9853,3,7,2
1,579.9787,1,7,2
1,449.9818,3,7,2
1,479.9839,1,7,2
1,569.98,2,7,2
1,439.9855,1,7,2
0,439.9852,3,7,2
1,579.9804,2,7,2
1,599.9768,1,7,2
0,689.9757,3,7,2
1,479.9842,2,7,2
0,529.9808,3,7,2
1,829.9728,1,7,2
1,529.9816,1,7,2
0,529.9785,3,7,2
1,639.9794,1,7,2
1,839.9707,3,7,2
1,589.9797,1,7,2
1,719.975,1,7,2
1,699.975,3,8,2
1,429.9857,1,8,2
1,589.9803,1,8,2
0,510.0079,1,8,2
1,509.8581,1,8,2
1,680.0002,3,8,2
1,589.98,1,8,2
1,429.9857,1,8,2
0,619.9774,3,8,2
1,529.9567,1,8,2
1,509.9572,3,8,2
1,479.9828,1,8,2
1,509.983,2,8,2
1,479.9864,1,8,2
1,579.9799,3,8,2
1,489.9829,3,8,2
1,529.9813,2,8,2
1,539.9809,1,8,2
0,409.9859,1,8,2
1,699.9764,3,8,2
1,439.983,1,8,2
1,559.9798,1,8,2
1,479.9825,1,8,2
0,729.9738,3,8,2
1,529.9819,1,8,2
1,479.9845,1,8,2
0,479.9839,3,8,2
1,419.9838,1,8,2
1,659.9766,1,8,2
1,579.979,3,8,2
1,549.9802,2,8,2
1,599.9777,3,8,2
1,419.9838,1,8,2
1,429.9834,2,8,2
1,669.9757,1,8,2
1,459.9847,3,8,2
0,489.9849,1,8,2
1,349.9861,3,8,2
1,619.9777,1,8,2
1,469.9812,3,8,2
1,489.9832,1,8,2
1,519.9826,2,8,2
1,509.983,2,8,2
1,469.9843,3,8,2
1,559.9796,2,8,2
1,569.9791,3,8,2
1,409.984,1,8,2
1,509.981,1,8,2
1,469.9829,1,8,2
1,569.9797,3,8,2
1,479.9833,1,8,2
1,509.9821,3,8,2
1,449.9848,1,8,2
1,429.9845,1,8,2
1,509.9835,2,8,2
1,479.9814,1,8,2
1,449.9823,3,8,2
1,469.9815,1,8,2
1,589.98,1,8,2
1,539.9812,3,8,2
1,339.9871,1,1,3
1,689.9746,3,1,3
1,439.983,1,1,3
1,429.984,1,1,3
1,419.9841,3,1,3
1,450.0095,1,1,3
1,349.9864,1,1,3
1,369.9867,3,1,3
1,539.9804,1,1,3
1,349.9861,3,1,3
1,359.9882,1,1,3
0,439.9841,1,1,3
1,319.8705,3,1,3
1,519.9817,1,1,3
1,459.9816,1,1,3
1,339.9896,3,1,3
1,309.9894,1,1,3
0,329.9869,1,1,3
1,319.9893,1,1,3
0,369.9864,3,1,3
1,339.9871,2,1,3
1,359.9871,1,1,3
1,539.9806,3,1,3
1,379.986,1,1,3
1,409.987,2,1,3
1,309.9872,1,1,3
1,329.99,3,1,3
1,309.9894,3,1,3
1,369.9864,1,1,3
1,339.9873,1,1,3
1,339.9885,1,1,3
1,369.9872,3,1,3
1,309.9894,1,1,3
1,379.9852,3,1,3
1,329.9894,1,1,3
0,339.9887,1,1,3
1,309.9894,1,1,3
1,359.9877,3,1,3
1,349.9858,1,1,3
1,319.9893,3,1,3
1,389.9878,1,1,3
1,359.9854,2,1,3
1,419.9855,2,1,3
1,319.9887,3,1,3
1,429.9857,1,1,3
1,369.9861,1,1,3
1,389.9859,3,1,3
1,379.9849,1,1,3
1,369.985,3,1,3
1,349.9864,2,1,3
1,379.9849,1,1,3
1,369.9861,1,1,3
1,329.9905,3,1,3
1,449.9843,2,1,3
1,379.9852,2,1,3
1,469.9846,1,1,3
0,479.9814,3,1,3
1,449.9815,2,1,3
1,309.9891,3,1,3
1,399.9849,1,1,3
1,349.9883,3,2,3
1,339.9893,2,2,3
1,319.9868,1,2,3
1,329.9637,3,2,3
1,369.9881,1,2,3
1,379.9868,1,2,3
1,329.9889,1,2,3
1,409.9859,3,2,3
1,419.9838,1,2,3
1,379.9616,2,2,3
1,399.9855,3,2,3
1,370.0116,1,2,3
1,420.088,2,2,3
1,329.9894,3,2,3
1,369.9856,1,2,3
1,519.982,1,2,3
1,429.9837,3,2,3
1,339.9857,1,2,3
1,309.9902,1,2,3
1,409.9845,1,2,3
1,399.9863,3,2,3
1,409.9853,3,2,3
1,349.9875,1,2,3
1,429.9873,1,2,3
1,349.9864,1,2,3
1,409.9867,3,2,3
1,389.9876,1,2,3
1,399.9852,3,2,3
1,339.9873,1,2,3
0,619.9768,2,2,3
0,449.9857,1,2,3
1,389.9856,1,2,3
1,379.9849,3,2,3
1,339.9879,1,2,3
1,339.9885,3,2,3
1,339.9887,1,2,3
1,319.9876,1,2,3
1,349.9814,1,2,3
1,319.9893,3,2,3
1,379.9874,3,2,3
1,349.9881,2,2,3
1,409.987,1,2,3
1,379.9866,2,2,3
0,339.9885,1,2,3
1,309.9883,3,2,3
1,369.9861,2,2,3
1,409.9856,1,2,3
1,459.9839,3,2,3
1,389.9853,1,2,3
1,409.9828,3,2,3
0,339.9879,1,2,3
1,539.9812,1,2,3
1,339.9893,3,2,3
0,319.9901,1,2,3
1,329.988,1,2,3
1,309.9872,1,2,3
1,479.9822,3,2,3
1,329.9886,2,2,3
1,329.9877,3,2,3
